BindingDB_Reactant_set_id,IC50_nM
234663,0.00405
234662,0.00767
233780,0.0089
233756,0.0106
233754,0.0108
234659,0.0165
233838,0.0172
233755,0.0191
233811,0.0196
234657,0.0199
233806,0.0201
233757,0.0209
233834,0.0221
233749,0.0228
233775,0.0245
233753,0.0276
233745,0.0292
233820,0.0293
233748,0.0296
233859,0.0332
233776,0.035
233784,0.0359
234661,0.0366
233802,0.0367
233803,0.0384
233752,0.0397
233804,0.0398
233781,0.0413
233835,0.0432
233774,0.0464
233750,0.047
233843,0.0485
233815,0.049
233836,0.054
233812,0.0549
399672,0.055
399673,0.055
399674,0.055
399675,0.055
399676,0.055
399677,0.055
399678,0.055
399679,0.055
399680,0.055
399681,0.055
399682,0.055
399683,0.055
399684,0.055
399685,0.055
399686,0.055
50948665,1.1
50705196,1.1
50624579,1.1
50624580,1.1
50417720,1.1
216243,1.1
216262,1.1
216276,1.1
51061932,1.1
216332,1.13
50705207,1.14
50705202,1.2
50624581,1.2
50353851,1.2
50417751,1.2
50421318,1.2
352712,1.2
233796,1.2305
50948708,1.27
50948658,1.3
51061931,1.3
216301,1.3
216266,1.3
216229,1.3
216246,1.3
216220,1.3
216374,1.35
50948655,1.4
50948666,1.4
50905635,1.4
50905637,1.4
351116,1.4
50417493,1.4
50475561,1.4
50417723,1.4
50417726,1.4
216284,1.4
216376,1.43
216307,1.43
50948644,1.5
50705180,1.5
50417566,1.5
216250,1.5
352327,1.5
50905634,1.5
216334,1.55
50612772,1.6
50705194,1.6
216560,1.62
216392,1.63
50172041,10000
51092850,10080
50446010,10100
50446456,10300
50157313,10420
88579,10450
88577,10610
88563,10670
88624,10680
88591,10710
88572,10710
51061884,10800
88582,10990
51090884,11000
402074,11000
51064492,11000
88584,11060
51092854,11080
50224267,11400
88554,11410
50610990,11500
50446458,11800
50610987,11800
50500897,12100
50296905,12200
88547,12440
50712363,12600
51063152,13000
402069,13000
50446460,13100
50109796,13200
50423595,13500
88552,13710
88544,13770
50445975,13900
50624604,14000
50269536,14300
50446013,14900
51090877,15000
50494036,15800
88618,15840
402078,16000
50446061,16200
50446059,16200
51062079,16220
51093844,16600
50509294,16900
50246380,17453
50494019,17500
226369,1.80E+04
50905708,18000
226361,1.81E+04
226368,1.85E+04
50500895,18500
50905711,19000
50423582,20500
51062589,21000
50502723,21052
51062078,23300
226365,2.46E+04
226367,2.50E+04
50934206,25000
226364,2.55E+04
50500893,27300
50440514,28600
50610986,29000
50445504,29000
50500898,29700
402039,32000
50509302,33500
88537,35640
50440531,40900
50269540,45500
226366,5.55E+04
50592089,106700
50424312,111900
50424311,115300
50440532,131000
50592090,133600
50424314,138200
50440535,145300
50424313,162400
50423541,437300
50427181,25000000
230594,1.7
230596,1.7
50981593,1.7
50421314,1.7
216277,1.7
352650,1.7
216247,1.7
216386,1.73
50948661,1.8
443887,1.8
216244,1.8
50624582,1.8
216393,1.88
216397,1.88
255675,1.9
230597,1.9
216369,1.9
352457,1.9
443904,1.9
50417494,1.9
216282,1.9
233786,1.9595
285581,2
285587,2
285476,2
285485,2
285499,2
285512,2
285515,2
285531,2
285537,2
262083,2
51091408,2
262071,2
262074,2
51095858,2
50712277,2
50665822,2
50665734,2
50665737,2
50665777,2
50665779,2
50624583,2
50559412,2
50494435,2
414968,2
401235,2
401241,2
401247,2
401248,2
401252,2
401070,2
401123,2
401127,2
401144,2
401160,2
401193,2
401224,2
401032,2
401063,2
400901,2
400903,2
400769,2
400834,2
400663,2
400714,2
400717,2
400732,2
400632,2
50421315,2
50199356,2
285967,2
285968,2
285979,2
285877,2
285895,2
285900,2
285902,2
285905,2
285788,2
285763,2
285692,2
285541,2
216245,2.1
50353919,2.1
230598,2.1
50417495,2.1
216265,2.1
443853,2.1
50624584,2.1
50705184,2.1
50199373,2.1
216453,2.12
216237,2.2
230595,2.2
351113,2.2
352349,2.2
359266,2.2
50624585,2.2
50981591,2.2
50374892,2.3
352430,2.3
216341,2.37
50421317,2.4
216238,2.4
216226,2.4
50624586,2.4
50353846,2.4
50417496,2.5
51088996,2.5
50710807,2.5
352661,2.5
352721,2.5
50421316,2.6
50365800,2.6
50353847,2.6
216377,2.61
216333,2.61
50981592,2.7
352323,2.7
443888,2.7
50421313,2.8
50624587,2.8
352344,2.8
352426,2.8
352665,2.8
50353848,2.8
216275,2.8
50955297,2.8
216283,2.8
216403,2.84
50353920,2.9
50541118,3
285495,3
286813,3
285447,3
198682,3
286794,3
51091114,3
233794,3
51095857,3
213961,3
51062917,3
51062930,3
51062935,3
51062938,3
216209,3
216236,3
50948656,3
50948662,3
50948711,3
50712274,3
50920173,3
50920174,3
50665715,3
50665736,3
50665740,3
50665774,3
50564603,3
50564604,3
50919366,3
50919367,3
50624588,3
50559403,3
50639634,3
50541103,3
50541111,3
50494423,3
414971,3
415000,3
415003,3
415005,3
401231,3
401068,3
401069,3
401074,3
401128,3
401188,3
401190,3
401212,3
400936,3
401051,3
401061,3
400764,3
400766,3
418588,3
400835,3
400665,3
400716,3
400718,3
400720,3
400721,3
400724,3
400739,3
400747,3
400748,3
352347,3
50307618,3
285970,3
285983,3
50157207,3
285876,3
285896,3
285901,3
285906,3
285808,3
285695,3
285768,3
285542,3
285575,3
285583,3
285585,3
285596,3
285474,3
285478,3
285486,3
285488,3
216305,3.07
50417724,3.1
370868,3.1
50365794,3.1
50948663,3.1
50353852,3.1
50905627,3.1
50569684,3.1
216256,3.1
443891,3.1
217552,3.2
279118,3.2
50357801,3.2
216269,3.2
51061943,3.3
216251,3.3
50905643,3.4
216439,3.43
50624589,3.5
50353840,3.5
50353853,3.5
50710806,3.6
50905624,3.6
50366060,3.6
50981600,3.6
352429,3.7
50705195,3.7
216257,3.7
216368,3.72
216513,3.88
216518,3.93
50920180,4
50920181,4
50948709,4
50712270,4
50712272,4
50920141,4
50920176,4
50665738,4
50564601,4
50610999,4
50559413,4
50842815,4
50541100,4
50905626,4
50371627,4
50475505,4
50494040,4
414980,4
414981,4
414995,4
401158,4
400896,4
400758,4
418583,4
400836,4
400693,4
400744,4
400753,4
400644,4
352421,4
285958,4
285987,4
285991,4
285875,4
285881,4
285882,4
285884,4
285908,4
285775,4
285778,4
285759,4
285761,4
285681,4
285693,4
285540,4
285578,4
285588,4
285470,4
285482,4
285487,4
285535,4
286817,4
285459,4
51091100,4
51062102,4
51045308,4
51062934,4
51062936,4
51062943,4
51061854,4
216460,4.04
234529,4.09
50109742,4.1
51061933,4.2
50417538,4.2
50981601,4.2
50421319,4.3
352648,4.3
50569685,4.3
352509,4.4
50365825,4.4
352435,4.4
50981598,4.4
216517,4.41
153841,4.5
50417536,4.5
50624590,4.5
50905628,4.6
443917,4.6
443855,4.6
352519,4.6
50624591,4.6
352728,4.6
230599,4.7
50905625,4.7
50212657,4.7
50624592,4.8
443894,4.9
352424,4.9
216278,4.9
216375,4.93
216519,4.99
50712276,5
50712278,5
51062933,5
50920139,5
50665762,5
50665766,5
50560653,5
50564594,5
50564241,5
50564209,5
50564229,5
50564233,5
50475506,5
414978,5
414989,5
414996,5
401269,5
401155,5
401210,5
400937,5
401055,5
400863,5
400902,5
400919,5
418575,5
418584,5
418585,5
400827,5
400711,5
400740,5
400624,5
400645,5
50423566,5
285964,5
50157166,5
285879,5
285891,5
285779,5
285708,5
285741,5
285745,5
285760,5
285614,5
285671,5
285553,5
285609,5
285489,5
286797,5
285445,5
285458,5
285461,5
285466,5
286795,5
255686,5
50569670,5.1
50981597,5.1
50353921,5.2
50981588,5.2
286803,5.3
50624593,5.3
352350,5.4
50353841,5.5
50421320,5.5
216207,5.5
50353923,5.5
216302,5.57
352420,5.6
352697,5.6
216223,5.6
50948657,5.6
216459,5.64
50981589,5.7
50353842,5.7
234612,5.72
443877,5.8
216512,5.81
51061929,5.9
50565954,5.9
216365,5.94
262125,6
262135,6
262044,6
262045,6
262046,6
262047,6
262048,6
262051,6
262052,6
262053,6
262055,6
262058,6
262068,6
262070,6
51062932,6
399687,0.055
399688,0.055
399689,0.055
399690,0.055
399691,0.055
399692,0.055
399693,0.055
399694,0.055
399695,0.055
399696,0.055
399625,0.055
399626,0.055
399627,0.055
399628,0.055
399629,0.055
399630,0.055
399631,0.055
399632,0.055
399633,0.055
399634,0.055
399635,0.055
399636,0.055
399637,0.055
399638,0.055
399639,0.055
399640,0.055
399641,0.055
399642,0.055
399643,0.055
399644,0.055
399645,0.055
399646,0.055
399647,0.055
399648,0.055
399649,0.055
399650,0.055
399651,0.055
399652,0.055
399653,0.055
399654,0.055
399655,0.055
399656,0.055
399657,0.055
399658,0.055
399659,0.055
399660,0.055
399661,0.055
399662,0.055
399663,0.055
399664,0.055
51062937,6
50624594,6
50905629,6
50559404,6
50559414,6
50848751,6
443906,6
50494045,6
414958,6
415016,6
401126,6
401137,6
401177,6
401179,6
401064,6
400848,6
400885,6
400904,6
418578,6
418581,6
400807,6
400833,6
400669,6
400683,6
400715,6
400719,6
400722,6
400743,6
50335187,6
50423569,6
285966,6
50157164,6
285889,6
285892,6
285910,6
285843,6
285704,6
285727,6
285737,6
285619,6
285621,6
285563,6
285579,6
286799,6
262087,6
262090,6
262098,6
50094240,6
262100,6
262101,6
262102,6
262117,6
262123,6
50353922,6.1
352704,6.1
352649,6.1
352315,6.1
50421321,6.2
234632,6.22
50199381,6.3
443866,6.4
216252,6.4
352314,6.4
286811,6.4
443897,6.4
50981602,6.5
443892,6.5
352534,6.6
216314,6.6
216268,6.6
50109744,6.6
216501,6.63
443883,6.7
352726,6.7
50353849,6.8
50569686,6.8
443902,6.8
50973067,6.85
234653,6.89
50981605,6.9
216272,6.9
50842791,7
50976222,7
443896,7
50371598,7
414998,7
401140,7
401187,7
401204,7
400884,7
400767,7
418577,7
400736,7
400737,7
50466187,7
400621,7
285973,7
285842,7
285703,7
285766,7
285618,7
285694,7
285546,7
285492,7
285526,7
286810,7
285453,7
262082,7
262084,7
198680,7
286782,7
286784,7
262099,7
262112,7
262126,7
262050,7
262057,7
262061,7
262067,7
262069,7
51095860,7
51062912,7
50494429,7
216417,7.01
352603,7.1
50569681,7.1
216367,7.21
50569687,7.3
50624595,7.3
50937693,7.3
352692,7.3
50365797,7.3
216366,7.34
50353843,7.4
50973017,7.4
216415,7.4
50353918,7.4
352452,7.4
234550,7.42
50081149,7.5
216503,7.6
443870,7.6
443895,7.6
216442,7.64
352345,7.7
234542,7.71
50417497,7.8
50905636,7.8
216364,7.95
285592,8
50564227,8
50564213,8
50564201,8
50564237,8
50559424,8
50559406,8
50905639,8
50665778,8
50920150,8
50712275,8
50712273,8
50948645,8
286790,8
285460,8
285594,8
50842788,8
285561,8
285678,8
285675,8
285784,8
50475528,8
50494052,8
414959,8
401072,8
400989,8
401006,8
401042,8
400893,8
400911,8
418590,8
400691,8
400742,8
50307578,8
50353850,8
285963,8
50157177,8
285782,8
234565,8.04
443865,8.1
352540,8.1
216500,8.12
443867,8.2
50417534,8.2
216264,8.3
255677,8.3
234556,8.36
352703,8.4
352465,8.4
216482,8.48
216211,8.5
234596,8.54
50981594,8.7
352717,8.8
286807,8.8
50109745,8.8
216318,8.88
50199380,8.9
234570,8.97
50494432,9
50559408,9
50494050,9
414986,9
401249,9
401256,9
401066,9
401071,9
401169,9
401199,9
400987,9
401041,9
401049,9
400876,9
400894,9
400917,9
400692,9
400712,9
352733,9
50307557,9
285975,9
285883,9
285918,9
285796,9
285809,9
285699,9
285712,9
285731,9
285615,9
285616,9
285680,9
285551,9
285598,9
285604,9
285517,9
285538,9
286806,9
285417,9
285446,9
285454,9
286792,9
50371625,9
50665739,9
50920148,9
50920177,9
51095855,9
216515,9.04
50981587,9.1
216404,9.1
216356,9.19
216273,9.2
234639,9.2
234615,9.3
216285,9.3
50624596,9.3
50973016,9.8
234638,9.99
443874,10
50541102,10
401255,10
401148,10
401056,10
401059,10
400886,10
400794,10
400733,10
400623,10
352680,10
352518,10
352425,10
352308,10
50224275,10
50353839,10
285885,10
285907,10
285765,10
285620,10
285556,10
285576,10
285586,10
285480,10
285494,10
286809,10
285457,10
255672,10
50494043,10
50559418,10
50665771,10
233795,10
233797,10
233800,10
51095862,10
50920179,10
50712268,10
50920145,10
216502,10.36
216395,10.47
216504,10.69
234616,10.8
443879,11
50848748,11
414936,11
401232,11
400921,11
418591,11
400798,11
400822,11
400698,11
400750,11
352645,11
352654,11
352436,11
352438,11
352380,11
50157199,11
285890,11
285786,11
285829,11
285613,11
285622,11
285623,11
285667,11
285669,11
285557,11
285562,11
285589,11
285595,11
285475,11
285483,11
285481,11
285513,11
285401,11
51092869,11
262118,11
443881,11
50848730,11
50842816,11
50559405,11
50905642,11
50665741,11
51045322,11
51045319,11
50981604,11.1
216480,11.29
216320,11.41
216381,11.53
216359,11.63
216279,11.7
234538,11.8
443857,12
50842793,12
50417506,12
414934,12
414985,12
400988,12
401062,12
418586,12
418594,12
400661,12
50466183,12
352550,12
352589,12
352505,12
50357802,12
351821,12
351820,12
50199368,12
50307577,12
285962,12
285893,12
285917,12
285792,12
285823,12
285610,12
285682,12
285684,12
286788,12
51091118,12
234655,12
51091077,12
51061939,12
51094611,12
51095840,12
443864,12
50559407,12
50665769,12
50665768,12
50665735,12
153840,12
50712269,12
50920226,12
216536,12.26
50569683,12.5
50981607,12.6
216479,12.74
216241,12.8
50981603,12.8
216355,12.82
401267,13
50569682,13
401206,13
401040,13
401060,13
400847,13
400897,13
400819,13
400832,13
400725,13
352716,13
50466188,13
50466352,13
352667,13
352693,13
352495,13
352318,13
352340,13
352341,13
50423568,13
50199379,13
285960,13
285914,13
285702,13
285719,13
285728,13
285767,13
285509,13
285520,13
285421,13
414920,13
50569669,13
50665764,13
50665763,13
51061935,13
234622,13.1
216396,13.19
216327,13.24
216205,13.4
234644,13.7
216406,13.9
443852,14
50564219,14
414922,14
414933,14
415009,14
414899,14
401172,14
400864,14
418574,14
352719,14
352730,14
50466184,14
352317,14
352346,14
352418,14
352419,14
50357797,14
285961,14
285904,14
285769,14
285798,14
285833,14
285602,14
285497,14
285514,14
286785,14
50417537,14
50559410,14
51095845,14
50937688,14
50665805,14
50665770,14
50569671,14
50611000,14
216315,14.35
234557,14.4
443910,15
443900,15
50564189,15
50565955,15
50710830,15
50976232,15
51061936,15
51095847,15
414966,15
414913,15
401045,15
400912,15
399665,0.055
399666,0.055
399667,0.055
399668,0.055
399669,0.055
399670,0.055
399671,0.055
233810,0.0581
233851,0.0585
233823,0.0603
233813,0.0646
233826,0.0668
233768,0.0676
233769,0.07
233850,0.0708
233818,0.0713
233821,0.0717
233827,0.0763
233814,0.0764
233751,0.0765
233853,0.0782
233798,0.0797
233744,0.0822
233852,0.0838
233763,0.0847
233773,0.0876
233785,0.088
50199359,0.09
233805,0.09
233746,0.0926
233747,0.0986
401270,0.1
401275,0.1
233828,0.1026
234665,0.106
233832,0.1067
233772,0.1079
233837,0.1084
234660,0.109
233807,0.1115
233846,0.1131
234664,0.116
50475562,0.12
233764,0.1214
233801,0.1236
234658,0.129
233824,0.1294
233822,0.1314
233779,0.1338
233817,0.1373
400760,15
400768,15
418576,15
352705,15
352696,15
352536,15
352422,15
352328,15
352351,15
285977,15
285758,15
285565,15
285484,15
286808,15
286814,15
286818,15
51091103,15
234555,15
216383,15.01
216330,15.09
216434,15.1
216270,15.1
234546,15.2
216489,15.23
221723,15.51
443854,16
50842785,16
443871,16
443893,16
50371606,16
415011,16
400993,16
400875,16
400890,16
400905,16
400781,16
400745,16
352646,16
352653,16
352538,16
352598,16
50353900,16
50199376,16
50252410,16
50307589,16
285791,16
285726,16
285630,16
285663,16
285685,16
285687,16
285566,16
285490,16
50081110,16
443863,16
50559402,16
50559409,16
50710804,16
50920178,16
51061937,16
234540,16.2
216467,16.51
3039,16.51
216465,16.54
2880,16.54
234560,16.7
234608,16.7
234554,16.8
216440,16.84
443860,17
285771,17
50665752,17
50937694,17
50976221,17
51062929,17
285449,17
285528,17
285580,17
285573,17
285762,17
50494044,17
414990,17
401257,17
50365806,17
50365828,17
418589,17
400676,17
50466351,17
352658,17
352573,17
351816,17
50357800,17
352309,17
50353845,17
285867,17
285886,17
285911,17
50842807,17
285818,17
285700,17
285733,17
216323,17.32
234607,17.4
216322,17.42
335039,17.5
234614,17.5
370424,17.5
234647,17.6
234571,17.7
216474,17.76
234656,17.8
443869,18
50842763,18
443905,18
443909,18
415017,18
414921,18
401145,18
400959,18
418572,18
50391281,18
400840,18
400658,18
400620,18
352326,18
50357816,18
50252430,18
285980,18
50157186,18
285772,18
285698,18
285701,18
285629,18
285468,18
285493,18
285527,18
286798,18
285416,18
286786,18
286789,18
443898,18
50559419,18
50559411,18
50665754,18
50937687,18
50715372,18
234583,18
51061944,18
51095839,18
234527,18.1
234533,18.3
234605,18.5
216316,18.68
234562,18.7
216507,18.73
443907,19
50848758,19
414935,19
400925,19
352527,19
352491,19
351824,19
352307,19
285915,19
285928,19
285785,19
285555,19
285605,19
286805,19
285439,19
286783,19
414923,19
216274,19
50976218,19
50712299,19
50665753,19
50842761,19
234544,19.5
50494059,20
50442507,20
414932,20
401280,20
401181,20
400888,20
400923,20
400660,20
400697,20
352423,20
352434,20
352442,20
352352,20
50413175,20
50307569,20
50307617,20
285959,20
285849,20
285909,20
285735,20
285657,20
285577,20
285582,20
285436,20
50081145,20
234637,20
414930,20
50879707,20
50842794,20
51061940,20
51062941,20
216202,20
50569677,20
50569678,20
50905610,20
234587,20.1
234584,20.6
216311,20.73
443861,21
50848753,21
50494051,21
414973,21
414993,21
401094,21
400756,21
400759,21
400664,21
400713,21
400746,21
352720,21
400625,21
400626,21
400652,21
352554,21
352437,21
352508,21
285799,21
285815,21
285757,21
285640,21
285511,21
286796,21
285450,21
443868,21
50905638,21
50920142,21
216488,21.25
234531,21.9
414925,22
50905632,22
401050,22
400869,22
352710,22
400646,22
352427,22
285817,22
285751,22
285639,22
285560,22
285467,22
285525,22
285430,22
285437,22
401281,22
50624598,22
50624597,22
50976229,22
50976228,22
51045323,22
234591,22
51061942,22
51073017,22
216353,22.1
234645,22.3
50973021,22.4
234598,22.5
216329,22.59
234635,22.6
443880,23
443884,23
50494046,23
50365819,23
50366007,23
50366054,23
418582,23
400695,23
400699,23
400618,23
352512,23
352443,23
285954,23
285939,23
285794,23
285810,23
285846,23
285732,23
285739,23
285625,23
285647,23
285674,23
285679,23
285510,23
255679,23
51045313,23
50976233,23
50665758,23
50665765,23
216413,23.38
258334,23.4
234613,23.4
234585,23.7
216380,23.89
443856,24
50976234,24
50371624,24
414953,24
414965,24
401278,24
401073,24
401183,24
400666,24
400738,24
352535,24
352431,24
352455,24
352379,24
352401,24
352406,24
285783,24
285826,24
285840,24
285697,24
285668,24
285547,24
50109746,24
443899,24
50976219,24
51095844,24
51072998,24
51091089,24
234631,24.3
216553,24.7
234606,24.8
216424,24.83
50417502,25
50905618,25
400877,25
400844,25
400704,25
352673,25
50423567,25
50413177,25
50157168,25
285878,25
285797,25
285845,25
285611,25
285554,25
285584,25
285455,25
